date,time slot(9 am ),time slot(10am),time slot(11am),time slot(12am ),time slot(1 pm),time slot(02 pm),time slot(03 pm),time slot(04 pm),time slot(05 pm)
09/01/2023',available,not available,available,available,available,available,available,available,not available
09/02/2023',available,available,available,available,not available,available,available,available,not available
09/03/2023',not available,not available,not available,not available,not available,not available,not available,not available,not available
09/04/2023',available,available,available,available,available,available,available,available,not available
09/05/2023',available,available,not available,not available,available,available,available,not available,not available
09/06/2023',available,not available,available,available,available,not available,not available,available,not available
09/07/2023',available,available,not available,not available,not available,available,available,available,not available
09/08/2023',available,not available,available,available,available,available,available,available,not available
09/09/2023',available,available,available,available,available,available,available,available,not available
09/10/2023',not available,not available,not available,not available,not available,not available,not available,not available,not available
09/11/2023',available,available,available,available,available,available,available,available,not available
09/12/2023',available,available,available,available,available,available,available,available,not available
09/13/2023',not available,not available,not available,not available,not available,not available,not available,not available,not available
09/14/2023',available,available,available,available,available,available,available,available,not available
